student_id,name,email,attendance,previous_marks,assignment_score,quiz_score,study_hours,lms_activity,participation,performance
STU1229,"Leo Hayes",leo.hayes229@edupredict.edu,71.8,80.5,85.8,87.2,19.8,82.3,6.6,Good
STU1230,"Lily Bennett",lily.bennett230@edupredict.edu,77.1,71.9,79.6,83.3,18.2,86.1,7.3,Good
STU1231,"Jayden Wilson",jayden.wilson231@edupredict.edu,88.3,80.4,87,85.3,19,97.9,6.5,Good
STU1232,"Aubrey Santos",aubrey.santos232@edupredict.edu,72.6,67.8,81.1,72.4,16.2,70.4,6.3,Average
STU1233,"Gabriel Harris",gabriel.harris233@edupredict.edu,74.7,81.9,79.4,89.9,17.5,87.4,6.8,Good
STU1234,"Zoey Walker",zoey.walker234@edupredict.edu,90,83.2,94.5,93.1,22.2,98,7.7,Excellent
STU1235,"Isaac Martinez",isaac.martinez235@edupredict.edu,75.7,82.1,79.9,83.8,19.7,86.2,7.7,Good
STU1236,"Penelope Rivera",penelope.rivera236@edupredict.edu,68.9,71.5,72,79.6,21.4,97.3,7.2,Good
STU1237,"Anthony Tanaka",anthony.tanaka237@edupredict.edu,84,80,80.8,76.4,18.2,90.7,7.6,Good
STU1238,"Lillian Schmidt",lillian.schmidt238@edupredict.edu,77.3,67.8,73.5,62.8,13.4,73.8,6.1,Average
STU1239,"Jaxon Martin",jaxon.martin239@edupredict.edu,90,85.2,83.8,92.6,22.6,98,8.2,Excellent
STU1240,"Addison Perez",addison.perez240@edupredict.edu,69.2,80.6,76.6,79,16.4,67.7,6.4,Good
STU1241,"Alexander Vance",alexander.vance241@edupredict.edu,70.7,68.8,74.7,78,17.2,76.4,5.8,Average
STU1242,"Sophia Dubois",sophia.dubois242@edupredict.edu,88.9,84.1,96.1,87.8,22.9,92.4,9.4,Excellent
STU1243,"Marcus Kim",marcus.kim243@edupredict.edu,82.1,80.5,88.1,97.4,24.1,97.8,7.3,Good
STU1244,"Emma Anderson",emma.anderson244@edupredict.edu,71.9,76.3,73.9,79.7,22.1,91.8,6.1,Good
STU1245,"Liam Thompson",liam.thompson245@edupredict.edu,84.8,82.6,89.9,90.5,19.8,92.4,7.6,Good
STU1246,"Aaliyah Hall",aaliyah.hall246@edupredict.edu,78.8,81.1,92.6,82.7,22,90.2,7.8,Good
STU1247,"Ethan Watson",ethan.watson247@edupredict.edu,69,72.1,74.9,74.4,18.1,87,5.8,Average
STU1248,"Olivia Silva",olivia.silva248@edupredict.edu,76.7,75.6,78.6,85.6,19.9,91.1,6.8,Good
STU1249,"Daniel Muller",daniel.muller249@edupredict.edu,87.6,81.4,91.7,93.7,21.2,96.4,7.9,Good
STU1250,"Chloe Taylor",chloe.taylor250@edupredict.edu,68.1,66.4,73.9,75.9,16.3,75.8,5.8,Average
STU1251,"Lucas Garcia",lucas.garcia251@edupredict.edu,85.1,88.9,94.5,97.3,26.3,98,8.4,Excellent
STU1252,"Ava Young",ava.young252@edupredict.edu,76,67.4,76.1,83.1,20.7,84.2,7.3,Good
STU1253,"Noah O'Connor",noah.o'connor253@edupredict.edu,62.6,60.6,65.8,69.1,17.3,77.8,6,Average
STU1254,"Isabella Patel",isabella.patel254@edupredict.edu,79.4,79.9,84.1,83.3,20.2,97.5,7,Good
STU1255,"James Novak",james.novak255@edupredict.edu,66.7,77.7,87.3,84.1,19.1,81.6,6.7,Good
STU1256,"Mia Thomas",mia.thomas256@edupredict.edu,80.8,68.2,80.6,78.8,21.7,92.5,7.3,Good
STU1257,"Benjamin Clark",benjamin.clark257@edupredict.edu,70.5,76.6,89.4,75,17.5,75.4,7,Good
STU1258,"Charlotte Allen",charlotte.allen258@edupredict.edu,74.8,90.6,84.8,98.1,22.1,93.3,6.8,Good
STU1259,"Henry Khan",henry.khan259@edupredict.edu,86.3,81.1,81.8,79.1,16.7,88.8,7.1,Good
STU1260,"Amelia Campbell",amelia.campbell260@edupredict.edu,78.4,62.7,77,75,21.2,91.9,7.8,Good
STU1261,"Sebastian Chen",sebastian.chen261@edupredict.edu,74,74.6,75.4,77.1,18.6,87.9,6,Good
STU1262,"Harper Jackson",harper.jackson262@edupredict.edu,90.9,82.1,87.8,92.5,25.6,98,8.7,Excellent
STU1263,"Jack Robinson",jack.robinson263@edupredict.edu,60.3,72,70.5,70.2,17.4,75,6.5,Average
STU1264,"Evelyn Sanchez",evelyn.sanchez264@edupredict.edu,70.1,81.6,76.6,90.1,22.3,96.7,7.2,Good
STU1265,"Owen Zhang",owen.zhang265@edupredict.edu,76.1,62.6,77.6,75.3,17.9,88.2,6.7,Good
STU1266,"Abigail Rossi",abigail.rossi266@edupredict.edu,84.6,87.8,93.3,83.8,22.1,98,8,Excellent
STU1267,"Samuel Gupta",samuel.gupta267@edupredict.edu,73.7,76.2,70,77.3,17.1,83,7,Good
STU1268,"Emily White",emily.white268@edupredict.edu,82.2,84.6,97.6,86.7,22.8,95.8,8.4,Excellent
STU1269,"David Lewis",david.lewis269@edupredict.edu,77.4,74.4,79.2,80.9,20.3,98,7.1,Good
STU1270,"Elizabeth Hayes",elizabeth.hayes270@edupredict.edu,79.3,83.7,87.3,85.2,19.5,87.7,7.2,Good
STU1271,"Joseph Bennett",joseph.bennett271@edupredict.edu,84,84.3,89,89.3,24.7,98,7.7,Good
STU1272,"Sofia Wilson",sofia.wilson272@edupredict.edu,72.5,79.6,78.3,81.4,19.2,76.6,6.7,Good
STU1273,"John Santos",john.santos273@edupredict.edu,81.3,78.9,85.4,87.4,20.8,91.4,8,Good
STU1274,"Avery Harris",avery.harris274@edupredict.edu,84.1,81.9,92,96.7,25.1,98,8.2,Excellent
STU1275,"Wyatt Walker",wyatt.walker275@edupredict.edu,73.7,69,79.7,71.6,17.5,78.3,7.5,Good
STU1276,"Ella Martinez",ella.martinez276@edupredict.edu,91.2,78.1,83,87.1,22.3,98,8.4,Good
STU1277,"Matthew Rivera",matthew.rivera277@edupredict.edu,92.7,84.4,95.5,89.3,21.9,98,7.8,Excellent
STU1278,"Scarlett Tanaka",scarlett.tanaka278@edupredict.edu,84,80.7,97.6,89.5,19.4,95.2,8.5,Good
STU1279,"Luke Schmidt",luke.schmidt279@edupredict.edu,88.5,91.9,99,98.3,22.3,98,8,Excellent
STU1280,"Grace Martin",grace.martin280@edupredict.edu,83.2,79.6,88,83.7,20.8,94.2,8.3,Good
STU1281,"Asher Perez",asher.perez281@edupredict.edu,73,65.8,73.8,73.3,17.9,82.7,6.8,Average
STU1282,"Chloe Vance",chloe.vance282@edupredict.edu,79.2,75.6,86.6,87.3,21.7,91.8,8,Good
STU1283,"Carter Dubois",carter.dubois283@edupredict.edu,81.7,68.7,82.8,86,24.4,92,6.8,Good
STU1284,"Victoria Kim",victoria.kim284@edupredict.edu,85.7,79.3,91.8,86.9,23.7,98,9.8,Good
STU1285,"Julian Anderson",julian.anderson285@edupredict.edu,71.5,86.4,79.7,93.3,21.3,87.3,7.3,Good
STU1286,"Riley Thompson",riley.thompson286@edupredict.edu,83.8,81.8,89.3,92.3,22,86.6,7.6,Good
STU1287,"Grayson Hall",grayson.hall287@edupredict.edu,92.3,79.7,92.4,82.2,19,96.5,8.4,Good
STU1288,"Aria Watson",aria.watson288@edupredict.edu,87,85.5,93.8,94.2,24.2,98,8.6,Excellent
STU1289,"Leo Silva",leo.silva289@edupredict.edu,92,85.6,99,99,25.8,98,9,Excellent
STU1290,"Lily Muller",lily.muller290@edupredict.edu,88.2,74.1,89.5,77.9,23,98,7.3,Good
STU1291,"Jayden Taylor",jayden.taylor291@edupredict.edu,77.8,68.4,77.3,83.5,20.4,94.3,6.9,Good
STU1292,"Aubrey Garcia",aubrey.garcia292@edupredict.edu,76.4,73,74.6,80.9,18,81.1,7.1,Good
STU1293,"Gabriel Young",gabriel.young293@edupredict.edu,87.8,87,94.7,88.5,20.6,98,6.8,Excellent
STU1294,"Zoey O'Connor",zoey.o'connor294@edupredict.edu,74.3,77.7,80.9,88,21.5,95.9,6.7,Good
STU1295,"Isaac Patel",isaac.patel295@edupredict.edu,76.8,80.2,75.4,93.8,19.5,98,6.1,Good
STU1296,"Penelope Novak",penelope.novak296@edupredict.edu,90.2,80.4,92.5,90.4,22.2,98,7.4,Good
STU1297,"Anthony Thomas",anthony.thomas297@edupredict.edu,77.5,78,88,84,23.4,85.9,8.2,Good
STU1298,"Lillian Clark",lillian.clark298@edupredict.edu,73.5,88,87.7,97.3,21.3,86.1,7.2,Good
STU1299,"Jaxon Allen",jaxon.allen299@edupredict.edu,70.5,72.1,75,78.7,19.6,81.9,6.4,Good
STU1300,"Addison Khan",addison.khan300@edupredict.edu,81.1,72.6,75.4,81,21.6,98,8.3,Good
STU1301,"Alexander Campbell",alexander.campbell301@edupredict.edu,87.1,74.3,77.6,81.1,18.4,97.7,7.5,Good
STU1302,"Sophia Chen",sophia.chen302@edupredict.edu,91.8,91.2,92.5,95.1,22.1,98,9.1,Excellent
STU1303,"Marcus Jackson",marcus.jackson303@edupredict.edu,93.8,95,98.1,99,22.1,95.7,8.3,Excellent
STU1304,"Emma Robinson",emma.robinson304@edupredict.edu,91.1,86.3,92.8,91.4,20.6,98,8.1,Excellent
STU1305,"Liam Sanchez",liam.sanchez305@edupredict.edu,90.3,90.3,95.8,95.8,23.6,98,7.9,Excellent
STU1306,"Aaliyah Zhang",aaliyah.zhang306@edupredict.edu,75.6,94.2,88.5,99,21.6,89.3,7.5,Excellent
STU1307,"Ethan Rossi",ethan.rossi307@edupredict.edu,81.5,78.5,87.3,83.4,19.5,82,7.3,Good
STU1308,"Olivia Gupta",olivia.gupta308@edupredict.edu,94.7,88.9,91.2,96.5,24.9,98,9.5,Excellent
STU1309,"Daniel White",daniel.white309@edupredict.edu,70.8,81.6,75.7,84.5,17.8,83.6,7.5,Good
STU1310,"Chloe Lewis",chloe.lewis310@edupredict.edu,74.3,62.7,69.2,80.3,18.2,93.2,7.2,Good
STU1311,"Lucas Hayes",lucas.hayes311@edupredict.edu,93.7,91.4,91.8,93.5,23.7,98,8.1,Excellent
STU1312,"Ava Bennett",ava.bennett312@edupredict.edu,90.8,91.8,99,99,28.4,98,8.1,Excellent
STU1313,"Noah Wilson",noah.wilson313@edupredict.edu,81.6,98,98.1,99,20.8,95.8,7.1,Excellent
STU1314,"Isabella Santos",isabella.santos314@edupredict.edu,76.7,80.1,79.4,88.2,19.5,85,7.5,Good
STU1315,"James Harris",james.harris315@edupredict.edu,86.6,78.2,88.8,87.8,24.4,98,8.2,Good
STU1316,"Mia Walker",mia.walker316@edupredict.edu,88.6,86.7,98.8,98.1,22.3,98,7.8,Excellent
STU1317,"Benjamin Martinez",benjamin.martinez317@edupredict.edu,84.3,82.5,84.2,81.3,17.9,85.4,7.3,Good
STU1318,"Charlotte Rivera",charlotte.rivera318@edupredict.edu,88.1,84.3,87.7,87.6,21.2,98,8.1,Good
STU1319,"Henry Tanaka",henry.tanaka319@edupredict.edu,86.1,81.3,86.6,95.8,22.7,98,7.7,Good
STU1320,"Amelia Schmidt",amelia.schmidt320@edupredict.edu,92.5,79.5,92.6,99,25.6,98,8.7,Excellent
STU1321,"Sebastian Martin",sebastian.martin321@edupredict.edu,83.1,88,87.2,91,20.7,97.3,8.2,Good
STU1322,"Harper Perez",harper.perez322@edupredict.edu,88.4,92.7,94.8,99,20.4,98,8.4,Excellent
STU1323,"Jack Vance",jack.vance323@edupredict.edu,79.7,74.1,90.4,82.6,20.8,93.3,8.1,Good
STU1324,"Evelyn Dubois",evelyn.dubois324@edupredict.edu,82.9,76.5,86.6,94.6,23.2,98,7.4,Good
STU1325,"Owen Kim",owen.kim325@edupredict.edu,82.2,80.5,84.4,95.9,23.3,98,7.1,Good
STU1326,"Abigail Anderson",abigail.anderson326@edupredict.edu,97,91.4,94.2,96,24.9,98,9.3,Excellent
STU1327,"Samuel Thompson",samuel.thompson327@edupredict.edu,98.7,89.3,99,85.4,25.7,98,8.9,Excellent
STU1328,"Emily Hall",emily.hall328@edupredict.edu,99,89.5,99,99,28.6,98,9.6,Excellent
STU1329,"David Watson",david.watson329@edupredict.edu,86.2,71.1,90.5,83.3,22.6,98,7,Good
STU1330,"Elizabeth Silva",elizabeth.silva330@edupredict.edu,74.9,76.5,84.1,87.9,19.7,95.3,7.3,Good
STU1331,"Joseph Muller",joseph.muller331@edupredict.edu,92.2,94.9,99,98.2,22.5,98,8,Excellent
STU1332,"Sofia Taylor",sofia.taylor332@edupredict.edu,96.8,96.4,99,99,25.8,98,9.5,Excellent
STU1333,"John Garcia",john.garcia333@edupredict.edu,78.5,75.6,83.7,81.8,19.5,89.2,7.6,Good
STU1334,"Avery Young",avery.young334@edupredict.edu,86.4,82.3,91.9,99,27.3,98,8.5,Excellent
STU1335,"Wyatt O'Connor",wyatt.o'connor335@edupredict.edu,81.9,85.7,93.4,94.7,23.6,98,7.7,Excellent
STU1336,"Ella Patel",ella.patel336@edupredict.edu,92.5,90.8,99,99,25.3,98,9.3,Excellent
STU1337,"Matthew Novak",matthew.novak337@edupredict.edu,96.2,98,99,99,25,98,9.2,Excellent
STU1338,"Scarlett Thomas",scarlett.thomas338@edupredict.edu,90.2,87.3,99,86.8,21.4,98,8,Excellent
STU1339,"Luke Clark",luke.clark339@edupredict.edu,96.5,97.3,99,99,24.3,97.8,9.4,Excellent
STU1340,"Grace Allen",grace.allen340@edupredict.edu,86.1,83.2,87.2,77.9,21.6,98,8.5,Good
STU1341,"Asher Khan",asher.khan341@edupredict.edu,78.3,79.5,85.6,78.3,20.3,95.9,6.9,Good
STU1342,"Chloe Campbell",chloe.campbell342@edupredict.edu,81.3,82.2,85.4,79.8,17.9,92.7,6.8,Good
STU1343,"Carter Chen",carter.chen343@edupredict.edu,75.8,90.6,79.4,90.2,17.3,84.1,7.3,Good
STU1344,"Victoria Jackson",victoria.jackson344@edupredict.edu,87.2,81.7,88.3,87.9,23.8,98,9.3,Excellent
STU1345,"Julian Robinson",julian.robinson345@edupredict.edu,90.4,78.3,93.1,99,26.5,98,8.2,Excellent
STU1346,"Riley Sanchez",riley.sanchez346@edupredict.edu,85.8,94.6,95.4,99,22.7,98,8.2,Excellent
STU1347,"Grayson Zhang",grayson.zhang347@edupredict.edu,92.5,89.9,98.1,96.7,24.9,98,8.9,Excellent
STU1348,"Aria Rossi",aria.rossi348@edupredict.edu,91.9,85,94,92.3,22.8,96.1,7.8,Excellent
STU1349,"Leo Gupta",leo.gupta349@edupredict.edu,81.4,83.1,90.7,88.1,21.2,94.4,8.3,Good
STU1350,"Lily White",lily.white350@edupredict.edu,83.5,88.4,88.4,95.9,20.2,98,7.8,Excellent
STU1351,"Jayden Lewis",jayden.lewis351@edupredict.edu,91.4,91.5,92.6,99,22.9,98,8,Excellent
STU1352,"Aubrey Hayes",aubrey.hayes352@edupredict.edu,85.3,92.6,93.6,99,25,98,8.5,Excellent
STU1353,"Gabriel Bennett",gabriel.bennett353@edupredict.edu,89.3,74,85.1,79.5,22.3,98,8.7,Good
STU1354,"Zoey Wilson",zoey.wilson354@edupredict.edu,81.3,78.6,83.6,84.1,21.8,98,8.3,Good
STU1355,"Isaac Santos",isaac.santos355@edupredict.edu,81.2,78.4,82.4,87.2,20.5,91.7,6.9,Good
STU1356,"Penelope Harris",penelope.harris356@edupredict.edu,92.2,95.1,90.8,99,25.3,98,9.4,Excellent
STU1357,"Anthony Walker",anthony.walker357@edupredict.edu,86.3,95.3,92.4,99,23,98,8.7,Excellent
STU1358,"Lillian Martinez",lillian.martinez358@edupredict.edu,86.8,91.1,90.8,97.7,24.4,98,8.2,Excellent
STU1359,"Jaxon Rivera",jaxon.rivera359@edupredict.edu,92.7,93.2,99,99,26.8,98,9,Excellent
STU1360,"Addison Tanaka",addison.tanaka360@edupredict.edu,90.2,76.5,93.4,86.4,25.6,98,8.9,Excellent
STU1361,"Alexander Schmidt",alexander.schmidt361@edupredict.edu,95.3,86.4,99,98.3,27,98,8.4,Excellent
STU1362,"Sophia Martin",sophia.martin362@edupredict.edu,88.2,74,79.6,84.8,24.3,93.4,8.4,Good
STU1363,"Marcus Perez",marcus.perez363@edupredict.edu,92.6,94.7,99,97.3,23,98,8.4,Excellent
STU1364,"Emma Vance",emma.vance364@edupredict.edu,94.3,97.4,94.9,93,20.1,98,8.9,Excellent
STU1365,"Liam Dubois",liam.dubois365@edupredict.edu,90.6,96.2,96.3,99,25.3,98,8.5,Excellent
STU1366,"Aaliyah Kim",aaliyah.kim366@edupredict.edu,94.7,94.2,99,99,24.1,98,8.7,Excellent
STU1367,"Ethan Anderson",ethan.anderson367@edupredict.edu,99,96.1,99,99,24.5,98,9.2,Excellent
STU1368,"Olivia Thompson",olivia.thompson368@edupredict.edu,91.6,93.1,89.2,99,22.4,95.2,8,Excellent
STU1369,"Daniel Hall",daniel.hall369@edupredict.edu,93,91.3,96.8,97,23.6,98,8.6,Excellent
STU1370,"Chloe Watson",chloe.watson370@edupredict.edu,94.7,84.7,99,99,26.9,98,9.4,Excellent
STU1371,"Lucas Silva",lucas.silva371@edupredict.edu,97.9,97.9,99,99,25.4,98,9,Excellent
STU1372,"Ava Muller",ava.muller372@edupredict.edu,85,91.5,96.8,98.7,26.6,98,8.8,Excellent
STU1373,"Noah Taylor",noah.taylor373@edupredict.edu,95.1,98,95.5,99,25.6,98,9.4,Excellent
STU1374,"Isabella Garcia",isabella.garcia374@edupredict.edu,76.2,81.9,83.7,86.6,22.9,94.3,8.1,Good
STU1375,"James Young",james.young375@edupredict.edu,90.9,91.2,93.3,95.6,23,98,8.3,Excellent
STU1376,"Mia O'Connor",mia.o'connor376@edupredict.edu,90.4,79.1,92,93.9,27.5,98,9.9,Excellent
STU1377,"Benjamin Patel",benjamin.patel377@edupredict.edu,82,81.2,85.6,84.1,23,98,8.2,Good
STU1378,"Charlotte Novak",charlotte.novak378@edupredict.edu,78,87.1,93,96.5,23.4,98,8.2,Excellent
STU1379,"Henry Thomas",henry.thomas379@edupredict.edu,91.2,96.7,98.7,97.1,21.1,98,8.3,Excellent
STU1380,"Amelia Clark",amelia.clark380@edupredict.edu,91.5,91.9,94.4,99,25.4,98,8.1,Excellent
